% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=605765, Mon Dec 16 23:50:12 2019, <python>{}</python>
1 28 0.09903839255247622 1.000049943577012 -0.07442076353839411 -7.4420763538394108e-02 8.132378412984673 19.21643231580131   
2 56 0.09815540337464253 1.000049943577012 -7.797461148456024 -7.7974611484560237e+00 7.176356400810096 16.3580280932559   
3 84 0.09733136250416498 1.000049943577012 -7.797461148456024 -4.1914498613014057e+00 5.349794393162822 13.190316139117868   
4 112 0.09656377649471794 1.000049943577012 -87.05639750816127 -8.7056397508161268e+01 6.893604659039299 23.2623393515369   
5 140 0.0958359484312191 1.000049943577012 -103.14814469504803 -1.0314814469504803e+02 7.161470984559607 23.295966678043925   
6 168 0.09515268305176668 1.000049943577012 -160.32180170405394 -1.6032180170405394e+02 6.6692071491072475 52.34878530483841   
7 196 0.09450092549438144 1.003366252499954 -304.1280558162094 -3.0412805581620938e+02 0.3179234223092049 44.73684688977267   
8 224 0.09387692678773199 1.003366252499954 -408.2158035366173 -4.0821580353661727e+02 -39.66026589780479 57.84378287017224   
9 252 0.09328358255340004 1.003366252499954 -550.6852263600931 -5.5068522636009311e+02 -81.8196137993681 120.97328203396565   
10 280 0.09272122441277346 1.003366252499954 -550.6852263600931 -4.0901430822372345e+02 -167.27559520433397 76.24349199994643   
11 308 0.09218520916755582 1.003366252499954 -550.6852263600931 -5.2749984120444253e+02 -188.66890238205738 55.54366855746959   
12 336 0.09166609177892494 1.003366252499954 -611.6155007517167 -6.1161550075171670e+02 -262.5466941953151 61.722583523451775   
13 364 0.09117521811348753 1.003815081924829 -611.6155007517167 -5.9749102265480860e+02 -158.63970764757715 49.85914513779831   
14 392 0.09070202959203887 1.003815081924829 -611.6155007517167 -5.4384993133052944e+02 -239.66440359882532 63.047197301541885   
15 420 0.090251683270763 1.003815081924829 -611.6155007517167 -5.6541736288316224e+02 -295.7890302412681 60.80461810438982   
16 448 0.0898145125571749 1.003815081924829 -611.6155007517167 -5.6585693826356828e+02 -307.83769378711986 6.583407397256025   
17 476 0.08939247957840547 1.003815081924829 -644.0669384618808 -6.4406693846188080e+02 -305.57433029425516 18.558610869345866   
18 504 0.08898408889430769 1.003815081924829 -721.7503436009279 -7.2175034360092786e+02 -309.8953894059456 19.17264938936802   
19 532 0.08859411550506774 1.0045992867216385 -721.7503436009279 -7.1817931977276999e+02 -308.5192794171656 60.551271438609014   
20 560 0.08822124734284625 1.0045992867216385 -721.7503436009279 -7.1552782194702172e+02 -398.75499499210895 7.519228774871317   
21 588 0.08786261132935834 1.0045992867216385 -721.7503436009279 -7.1142412636887036e+02 -326.56384181370777 1.275191423618835   
22 616 0.087512280737685 1.0045992867216385 -721.7503436009279 -5.5898278449892302e+02 -318.4860585865264 39.29824838812985   
23 644 0.0871692950461737 1.0045992867216385 -721.7503436009279 -6.4907553945767336e+02 -315.97189694888226 63.00102233350521   
24 672 0.08683970609488104 1.0045992867216385 -721.7503436009279 -6.0439929110203059e+02 -302.7643826619319 104.61061269619897   
25 700 0.08652058567106866 1.005601953130062 -721.7503436009279 -7.1734937811946952e+02 -408.54829313930645 16.803875467283525   
26 728 0.08620918132034802 1.005601953130062 -721.7503436009279 -6.9063984698398349e+02 -431.53653493884866 -170.25890570272696   
27 756 0.08591817636880889 1.005601953130062 -721.7503436009279 -6.8556408632285365e+02 -453.5639879076347 62.38413746026288   
28 784 0.08562022659538632 1.005601953130062 -721.7503436009279 -7.1830231147216728e+02 -485.6891841803257 53.1826105314931   
29 812 0.08533235964353636 1.005601953130062 -721.7503436009279 -6.9839545921775766e+02 -523.3988807351084 20.262532591941504   
30 840 0.08505364035990536 1.005601953130062 -722.7251543459263 -7.2272515434592628e+02 -517.4756120531317 -123.59103865233567   
31 868 0.08478335485547571 1.006938362607146 -722.7251543459263 -7.1529893096123647e+02 -554.2116212954988 -198.31959529379208   
32 896 0.08452128439309836 1.006938362607146 -722.7251543459263 -6.8257912398147062e+02 -467.24534682250123 -6.190152468534853   
33 924 0.08427504190177224 1.006938362607146 -787.557353947041 -7.8755735394704095e+02 -506.15572541536005 -60.24041266936917   
